Model,Scenario,Region,Variable,Unit,1990,1995,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2020,2021,2022,2023,2024,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100
MESSAGEix-GLOBIOM 1.0,LowEnergyDemand_1.3_IPCC,R5ASIA,Final Energy|Residential and Commercial|Heat,EJ/yr,,,,,,,,,,,,,0.912767587,,,,,1.138311579,2.359816476,,,,,,0.92373402,,0.827894957,,1.422618814,,1.389557381,,1.347621841,,1.29888114,,1.254198691,,1.265670017
MESSAGEix-GLOBIOM 1.0,LowEnergyDemand_1.3_IPCC,R5ASIA,Final Energy|Residential and Commercial|Hydrogen,EJ/yr,,,,,,,,,,,,,0,,,,,0,0,,,,,,0,,0.000151978,,0.000469936,,0.000487632,,0.000483729,,0.340312139,,0.360719831,,0.351363186
MESSAGEix-GLOBIOM 1.0,LowEnergyDemand_1.3_IPCC,R5ASIA,Final Energy|Residential and Commercial|Liquids,EJ/yr,,,,,,,,,,,,,5.276355959,,,,,6.14233432,5.965448352,,,,,,2.139325633,,1.060966799,,0.933917296,,0.916276882,,0.888285723,,0.867229779,,0.853703199,,0.842335561
MESSAGEix-GLOBIOM 1.0,LowEnergyDemand_1.3_IPCC,R5ASIA,Final Energy|Residential and Commercial|Other,EJ/yr,,,,,,,,,,,,,0.369481638,,,,,0.908195562,1.785351983,,,,,,2.372102489,,3.387017626,,3.440227349,,3.738409679,,3.624205748,,3.538297499,,3.483109051,,3.436729091
MESSAGEix-GLOBIOM 1.0,LowEnergyDemand_1.3_IPCC,R5ASIA,Final Energy|Residential and Commercial|Solids,EJ/yr,,,,,,,,,,,,,25.9321592,,,,,24.75869056,21.42882795,,,,,,0.57742449,,0.392728271,,0,,0,,0,,0,,0,,0
MESSAGEix-GLOBIOM 1.0,LowEnergyDemand_1.3_IPCC,R5ASIA,Final Energy|Residential and Commercial|Solids|Biomass,EJ/yr,,,,,,,,,,,,,21.0376087,,,,,19.74645181,18.74606889,,,,,,0.57742449,,0.392728271,,0,,0,,0,,0,,0,,0
MESSAGEix-GLOBIOM 1.0,LowEnergyDemand_1.3_IPCC,R5ASIA,Final Energy|Residential and Commercial|Solids|Biomass|Traditional,EJ/yr,,,,,,,,,,,,,20.89393555,,,,,19.68605751,18.47817947,,,,,,0,,0,,0,,0,,0,,0,,0,,0
MESSAGEix-GLOBIOM 1.0,LowEnergyDemand_1.3_IPCC,R5ASIA,Final Energy|Residential and Commercial|Solids|Coal,EJ/yr,,,,,,,,,,,,,4.894550496,,,,,5.012238754,2.682759055,,,,,,0,,0,,0,,0,,0,,0,,0,,0
MESSAGEix-GLOBIOM 1.0,LowEnergyDemand_1.3_IPCC,R5ASIA,Final Energy|Solar,EJ/yr,,,,,,,,,,,,,0.493077086,,,,,1.495325262,3.066947725,,,,,,7.305525566,,9.131334071,,9.370541073,,9.467063624,,9.005571007,,8.574236863,,8.367963257,,8.147769272
MESSAGEix-GLOBIOM 1.0,LowEnergyDemand_1.3_IPCC,R5ASIA,Final Energy|Solids,EJ/yr,,,,,,,,,,,,,57.39184689,,,,,57.92541519,54.88336661,,,,,,22.78575075,,12.43306356,,5.673960363,,1.0140699,,0.02636268,,0,,0,,0.024956671
